type_number,network
#EAST
#0000,2023/09/20 12:34:56
1111,2404:01a8:7e00:0000:0000:0000:0000:0000/40
1211,2404:01a8:0000:0000:0000:0000:0000:0000/32
1212,2001:0c90:0000:0000:0000:0000:0000:0000/33
1311,2408:0210:0000:0000:0000:0000:0000:0000/30
1411,2400:2410:0000:0000:0000:0000:0000:0000/30
1412,2409:0010:0000:0000:0000:0000:0000:0000/30
1413,240b:0010:0000:0000:0000:0000:0000:0000/30
1414,2404:7a80:0000:0000:0000:0000:0000:0000/30
1415,2405:6580:0000:0000:0000:0000:0000:0000/30
1416,2400:4050:0000:0000:0000:0000:0000:0000/30
1417,2401:4d40:0000:0000:0000:0000:0000:0000/30
1418,2001:0f70:0000:0000:0000:0000:0000:0000/30
1419,240b:c0c4:0000:0000:0000:0000:0000:0000/30
1421,2406:ab48:0000:0000:0000:0000:0000:0000/30
#WEST
#0000,2020/12/11 11:04:47
2111,2001:a7ff:5e00:0000:0000:0000:0000:0000/40
2211,2001:a7ff:0000:0000:0000:0000:0000:0000/32
2212,2001:a000:0000:0000:0000:0000:0000:0000/24
2311,2001:a200:0000:0000:0000:0000:0000:0000/23
2411,2400:2650:0000:0000:0000:0000:0000:0000/30
2412,2409:0250:0000:0000:0000:0000:0000:0000/30
2413,240b:0250:0000:0000:0000:0000:0000:0000/30
2414,2404:7a84:0000:0000:0000:0000:0000:0000/30
2415,2405:6584:0000:0000:0000:0000:0000:0000/30
2416,2400:4150:0000:0000:0000:0000:0000:0000/30
2417,2401:4d44:0000:0000:0000:0000:0000:0000/30
2418,2001:0f74:0000:0000:0000:0000:0000:0000/30
2419,240b:c0cc:0000:0000:0000:0000:0000:0000/30
#2421があるはず
